date,sales,dcoilwtico,is_holiday,year,month,day_of_week,day_of_year,quarter,is_weekend,is_month_start,is_month_end,sales_lag_1,sales_lag_7,sales_lag_30,sales_lag_365,sales_ma_7,sales_ma_30,sales_ma_90,sales_growth_daily,sales_growth_weekly,sales_growth_monthly
2014-01-02,801011.226041,95.14,0.0,2014,1,3,2,1,0,0,0,8602.065404,470731.1624137,495488.366984,2511.618999,498285.6384699571,513967.4981148867,439389.77951979224,92.11847660080869,0.7016320354356205,0.6166095501226283
2014-01-03,680672.845603,93.66,0.0,2014,1,4,3,1,0,0,0,801011.226041,479314.968043,424438.046973,496092.417944,527051.0495499572,522508.65806922,442751.58915916993,-0.15023307604909952,0.4200951169585341,0.6037036511156599
2014-01-06,602268.564009,93.12,0.0,2014,1,0,6,1,0,0,0,949618.78894,635134.7358515,432661.755068,477350.121229,640866.7199497714,564018.6791863666,454106.4900640244,-0.3657785934487726,-0.05174677117672932,0.3920078605384094
2014-01-07,563450.5988595,93.31,0.0,2014,1,1,7,1,0,0,0,602268.564009,507264.6630475,537181.319801,519695.401088,648893.2822086286,564894.32182165,456736.7553401067,-0.06445291597341263,0.11076256618083957,0.04890207103298305
2014-01-08,636176.853478,91.9,0.0,2014,1,2,8,1,0,0,0,563450.5988595,8602.065404,588855.895921,336122.801066,738546.8233620572,566471.68707355,460221.72683478444,0.1290729919636393,72.95629114633037,0.08036084530152765
2014-01-09,496377.933414,91.36,0.0,2014,1,3,9,1,0,0,0,636176.853478,801011.226041,442309.3141075,318347.777981,695027.7815581999,568273.9743837666,462347.6250054111,-0.2197485169410277,-0.38031089043864064,0.12224164760265266
2014-01-10,543055.329066,92.39,0.0,2014,1,4,10,1,0,0,0,496377.933414,680672.845603,414421.695986,302530.809018,675368.1363386286,572561.7621531,463904.7525613889,0.09403600061542017,-0.2021786492967651,0.31039309554957617
2014-01-13,555547.0150185,91.45,0.0,2014,1,0,13,1,0,0,0,844633.598917,602268.564009,434657.0129787,403258.2120105,632366.1120531429,604082.8213760599,474311.9348013622,-0.3422627092613536,-0.07757593834799881,0.2781273473798158
2014-01-14,502643.104285,92.15,0.0,2014,1,1,14,1,0,0,0,555547.0150185,563450.5988595,554911.917024,464638.547998,623679.3271139285,602340.5276180934,476505.2740713511,-0.09522850326490961,-0.10791983307424391,-0.09419299015836302
2014-01-15,567067.469069,93.78,0.0,2014,1,2,15,1,0,0,0,502643.104285,636176.853478,642015.7758165,293348.362078,613806.557912643,599842.2507265101,478853.8352394178,0.12817118992538923,-0.10863234654196663,-0.11673904220216791
2014-01-16,502789.214207,93.54,0.0,2014,1,3,16,1,0,0,0,567067.469069,496377.933414,516060.290853,299129.549954,614722.4551687856,599399.8815049767,480963.16636437335,-0.11335204075016114,0.012916127735381533,-0.025716136043066107
2014-01-17,542937.915657,93.96,0.0,2014,1,4,17,1,0,0,0,502789.214207,543055.329066,480470.71684249997,318347.913946,614705.6818246429,601482.12146546,483403.2779482622,0.07985195448816995,-0.00021620892516027723,0.13001249946097548
2014-01-20,575850.061871,93.96,0.0,2014,1,0,20,1,0,0,0,851735.334091,555547.0150185,544104.2676365,432459.852021,618543.2841550715,622659.4095694267,492733.1099354534,-0.3239096244779299,0.03654604615565038,0.0583450564951431
2014-01-21,538817.207912,94.51,0.0,2014,1,1,21,1,0,0,0,575850.061871,502643.104285,685673.07474,461092.386047,623711.0132446429,617764.2140084933,495368.39241133333,-0.06430988969364038,0.07196777060824688,-0.21417767772737195
2014-01-22,553097.596874,96.35,0.0,2014,1,2,22,1,0,0,0,538817.207912,567067.469069,696295.146867,311211.26595000003,621715.3172167857,612990.9623420599,497923.86442126665,0.026503216215641556,-0.02463529113728813,-0.2056563953336763
2014-01-23,460789.0398597,97.23,0.0,2014,1,3,23,1,0,0,0,553097.596874,502789.214207,792865.284427,296214.728983,615715.2923100286,601921.7541898167,499976.4195307911,-0.16689379512044533,-0.0835343582569541,-0.4188306022343883
2014-01-24,526124.572256,96.66,0.0,2014,1,4,24,1,0,0,0,460789.0398597,542937.915657,620663.290732,283258.4530325,613313.3861098858,598770.4635739499,502293.68782214896,0.14179055217153858,-0.030967340677717226,-0.1523188496688802
